77788 11744
36392 14819 1303
62884 17241 506685
69151 54848 922431
6627 47010 401081
30850 63768 329443
12041 20897 668271
76073 71659 696365
6797 15832 620129
10119 34531 821568
11003 37850 265523
42470 45984 104847
55239 2737 982862
52464 52299 129535
433 69219 23249
28284 11626 17436
54454 54702 156770
17645 64257 566649
56615 19241 718432
68271 28671 641397
21872 75122 97476
13249 28939 76785
44376 10737 153303
27702 6270 668365
51900 39699 987397
51635 10557 184377
44972 39134 76970
18474 40210 119713
31139 16906 716529
34132 22166 513600
39236 71980 351573
56247 47507 948583
40036 36598 206326
42439 49684 14645
45742 15236 598959
73627 9102 734883
59929 24364 141766
22084 56651 602952
70146 58789 701568
29094 40143 984217
56064 31205 918497
45169 63868 747445
77762 63827 8099
17966 76854 717260
20549 10579 187260
58152 1176 614984
8927 65880 819908
48000 42527 65811
53236 33909 566367
5958 76457 871654
24608 44186 971582
42619 75050 745579
5443 51267 141707
63506 3455 771507
64012 45034 512429
27408 59679 143302
59765 77131 155257
45919 4810 762539
60901 40264 633937
63497 67193 453651
57778 5338 452242
10706 10317 296070
3385 55022 925599
2936 8605 78368
77294 5081 409672
13706 16338 99797
54141 23985 433286
20625 21151 7371
2833 62492 724903
69372 40036 812985
38542 59399 180582
48690 3737 124978
26780 64210 206220
47331 74854 989850
16931 13698 653314
44655 73688 133282
24416 7163 136263
46409 60746 454132
55540 60145 615994
25804 32766 956651
42380 62493 740368
36433 268 688404
43596 33441 661520
69290 48328 643167
2046 16570 808075
42288 64757 254845
77390 14243 13787
1190 3778 841053
42724 9514 662720
15851 8688 505090
23714 34007 101032
48257 35475 358100
16654 27113 706881
15396 59737 817458
31026 52713 439226
55434 8528 783755
36706 52941 60113
11746 6488 15584
16557 74870 863539
59306 60514 816871
8400 41748 942220
69557 3465 42863
35810 21273 892834
77213 55496 916399
76674 71127 697177
39118 16148 60259
70968 46005 353349
38654 51992 127374
69688 47454 880198
60299 11130 215174
23466 21075 594243
25967 39165 948373
20831 1334 27261
33171 76973 975052
52019 46733 849022
45056 43934 723271
8125 74555 670130
75862 35062 753701
17515 54064 591006
34797 28765 260707
581 73066 845502
35348 46240 637450
68491 8566 362054
46139 55020 448555
76275 65724 174254
61765 50149 329470
36721 46736 15903
15300 20624 285865
27961 68491 917803
57424 71608 294196
47349 7804 176959
25255 46891 338163
67562 46390 141550
68465 39461 331956
55889 5418 263606
26348 45252 155705
43864 54641 1100
33562 70655 79705
7676 72764 598517
47285 61829 909117
6711 63589 37568
68351 9075 57780
913 15188 571392
17021 58331 575934
27521 25068 201074
63151 53158 372062
30857 75292 756116
4984 44963 800302
53243 59214 52530
53366 25517 538520
38254 32115 518053
56089 71912 750967
5491 11033 592275
71881 50263 721435
1855 66767 561238
17121 20810 623553
8941 19385 120550
50761 27407 960245
47820 67995 368310
66911 19239 989336
37279 5690 945113
16125 47019 644885
35821 47979 333159
51121 35488 478168
77404 43941 828374
10649 35114 492256
1093 25872 163311
20160 7097 694906
21211 74730 263484
34892 38048 868423
50683 11553 639870
19959 13428 862359
124 70783 947443
40469 42135 388213
35916 47792 592393
1780 11983 948261
60261 65939 755658
37939 28709 197977
42513 5442 490715
48943 25319 277310
49735 2542 709145
12536 26418 55007
41780 20683 891380
18156 32926 998470
3356 32209 436630
52975 28082 963700
33128 75427 956505
39684 54467 571269
24014 2563 693156
49225 43837 431640
18630 22117 181651
58155 26668 180920
67118 72465 90553
22343 23775 968723
23624 46562 479507
11675 64427 902238
57106 14629 140791
67538 61734 162104
21934 69617 626256
54894 63742 546395
50519 26544 498736
33439 67229 20762
9158 319 844810
52324 70749 510812
40190 53667 520307
21724 31050 306836
74054 5729 247577
26256 10289 106641
70390 30290 484111
76962 43912 984283
36358 60443 404763
65361 58322 324522
41554 28159 876418
20034 50268 79553
68176 15753 595053
68711 50187 972955
58694 5869 586792
37670 64651 1119
9180 70390 220109
60705 43571 430508
26966 40214 672555
34920 9919 229417
49526 39483 813780
10366 26852 354628
37445 65534 156973
54095 56383 832332
57931 31599 445719
52998 38768 757138
8183 60521 351848
74130 27672 347172
32890 27635 349802
3308 62882 571892
14046 71473 379706
22991 44030 726572
69327 3267 394011
38549 37598 525554
39625 17061 836963
45285 74626 93064
57840 48258 680414
55653 29809 591220
62037 29710 688625
61690 74010 848286
77393 40171 101943
26066 5199 418494
24827 24528 585554
70046 39539 411912
24154 12404 30325
10424 58678 880512
42886 13871 501200
6843 983 282558
68933 41943 401331
40532 69297 946900
5555 76038 370259
20562 14947 399496
961 56465 569173
70857 12172 967036
22242 74303 960984
15504 22283 265737
54825 6268 929341
59452 15169 965262
42528 12046 785257
15928 39636 348754
74013 45425 838686
41775 14378 713410
12623 63815 532897
26117 36392 89617
49202 70840 140238
5978 18693 209993
77753 70818 45762
24615 44256 504827
73177 70992 110320
29225 51396 24888
76267 20584 472511
31294 11309 472586
31492 19464 473587
64950 42497 230245
42811 58982 978685
821 23658 944100
69237 4404 520484
36743 45320 364999
58980 8223 44048
47772 19809 884737
17205 22288 98964
76966 24868 683075
17784 19310 721420
16522 32487 713167
36405 5243 44473
25391 496 353635
50248 17869 501615
57001 24021 629863
60355 72770 260414
2669 55356 418670
33412 34841 809290
43925 29351 791394
72706 9077 946633
2581 61034 750200
44231 49490 186750
55142 58047 95891
56023 45786 106691
59620 76137 339068
11306 2016 100104
14150 15626 425189
569 60247 251693
74169 17682 656556
56535 68640 867616
66687 52610 904498
45692 25736 383487
49279 46852 979337
33467 37282 193575
54570 51432 907344
32183 77635 457244
68176 42251 547602
36076 18 358012
20067 14963 342605
24157 8058 972153
56323 40148 161531
28778 71694 965258
70628 25000 427359
74617 44634 668886
47137 45253 145570
14991 63909 910054
57509 11383 603234
72548 16580 937473
15687 24195 423167
34831 9032 723018
21668 65791 295091
54426 69421 382417
6805 48508 403945
36700 1018 643970
10264 6969 88699
28072 19033 777611
42094 2663 655060
72808 44368 671224
48477 72639 110126
