13308 3800
11706 11707 652165
3364 5114 105860
2631 9752 377780
3230 5780 646761
11728 4956 173271
10110 4929 356577
4174 7626 968393
12959 7517 26175
1035 3373 716897
6022 6025 113375
8875 8723 580195
3521 2540 527397
2494 8944 622652
2398 12781 656334
1109 11503 999895
1087 7407 838284
2815 5303 726622
2683 7938 616253
6100 4083 864748
5046 7036 67692
4679 382 66184
7347 11488 680403
4105 12885 366192
3260 3061 332241
8880 11926 154024
822 4429 396023
7661 3870 329547
8738 1363 8408
5042 5037 694781
11622 12839 564403
3784 525 173862
4152 322 388672
12789 13117 964645
4682 1047 220793
583 8473 372624
1802 3588 146171
6954 5841 329166
9589 11565 867471
11411 1433 94524
12212 11606 370299
11738 506 836708
3197 6835 876839
977 12032 261410
667 4416 556421
8177 3770 550534
7133 2283 624877
1527 12374 991828
7594 2551 256717
11358 5615 907701
2827 5674 767721
4050 8637 29289
2293 10310 223218
10241 1920 833704
9279 10529 471542
4662 10753 936504
3131 2233 877245
1024 12490 99550
6068 9396 228889
10189 5513 184597
1147 5325 325290
12639 889 293939
12103 12785 670428
1132 7337 384242
897 10256 690817
2531 5791 714203
3586 2689 610168
11730 8600 559190
7132 1362 748162
3339 12608 73900
6096 1026 861930
9959 4579 278839
3096 10901 318068
6144 8362 640185
9972 11932 143242
4996 6369 714761
6070 8271 641845
12347 2197 220454
2935 8536 791549
11689 2114 647982
5636 5847 391738
9337 2184 84107
3656 7239 744202
10540 535 8827
1373 4681 58555
1915 7188 331799
10643 1725 264250
8559 11229 300530
11363 3443 21830
12766 7234 721111
211 4681 290051
802 4720 996857
9474 11414 101458
2139 4543 859861
4248 9114 259621
10350 10987 629045
5660 1189 726769
2741 8841 612554
10047 9337 249365
10928 9623 286990
9824 9712 20663
9262 667 168308
7180 1146 534873
13023 8299 585745
5308 5484 166819
1157 7503 57839
1966 3711 839219
3923 5685 359168
4426 4827 968081
11929 1063 627669
1153 8465 507327
8206 680 612642
7487 7489 365747
5481 9588 589195
5224 147 274822
12914 4157 626696
13222 7882 567737
5867 567 255026
1813 234 781739
10280 7789 82943
7306 2946 974268
3210 165 713492
8647 2570 728705
2925 375 521310
7442 8253 992908
10239 3758 792224
8014 9021 514561
1416 841 193
9614 6000 232555
12535 6221 465101
8240 6106 290214
6015 12913 388029
6055 7001 932906
11847 12169 861906
10348 9645 146570
11720 4857 48687
1603 3111 316639
10652 494 134791
4553 4486 242715
1382 7870 906990
7472 3965 195390
8085 12919 34762
8385 6095 241534
949 10098 427972
11338 1295 322135
13273 5095 82406
6812 2216 355672
6275 6518 780040
8040 10818 651951
1386 412 634479
7392 5765 441385
1968 3477 694375
9249 831 216377
12045 183 847126
1793 7287 316215
9007 8790 596826
247 11093 206529
11719 12015 529456
11502 5329 485248
1574 1528 627462
2433 2068 841457
7395 7433 26413
2202 12153 33642
5267 338 614248
7620 3885 290199
5853 11482 327892
10845 13094 995186
3213 5994 447668
11205 12833 729172
7972 10231 814594
108 11699 839975
602 6558 618859
7863 4028 385672
7260 4187 570204
588 8606 261360
3637 10975 937516
1547 8104 900965
2560 4961 5414
4056 2116 326967
9699 11548 523561
4842 4494 316072
12833 8275 687351
6764 8762 95189
9410 11855 102542
11467 10815 800069
1088 335 354586
672 2873 906535
2677 10353 766706
10780 3715 983404
9496 1698 645840
4118 1394 481142
7676 6946 515662
3444 9502 238989
13288 11399 418334
1363 11616 438942
131 9389 406128
3025 13250 885061
3065 1458 697776
8126 11483 122716
7107 5290 907481
10799 12567 164645
5483 3043 982887
3485 8615 706596
7383 64 25645
5034 3709 645773
156 6112 22755
2392 424 181493
8202 9263 251060
3911 2644 610338
11453 12280 115557
7894 6615 479701
1983 6512 23765
11946 7508 651533
12806 2148 947386
8770 5249 554828
3459 10804 224056
9801 10455 705295
8592 7376 405075
8054 7128 928335
9961 876 737837
6668 8734 789905
9416 7618 362892
561 10383 540314
3466 6477 405670
12884 12302 532111
679 1202 420056
308 12791 27444
11802 10300 572306
11138 4025 661268
330 2758 971050
4748 1909 14539
96 9762 528966
3902 3177 451157
7866 6478 914042
12563 10753 204099
5675 10155 505283
6346 4654 103824
4617 2287 892303
3919 9536 227243
6426 9600 314941
1406 7051 568255
10134 10690 422901
1145 3005 837326
2674 8098 725242
8623 2255 281875
6535 11496 809328
4539 8042 684626
7335 12721 381787
3850 8234 292583
3857 3183 327430
3109 3596 383471
7552 2159 244811
9510 12869 113464
7693 971 143748
109 7926 52610
3643 11326 255940
5645 5380 727609
9829 3591 545824
10500 3236 51401
8363 3814 940641
603 10443 87736
1056 573 354193
11045 8982 430906
10466 3352 713854
10046 6817 694339
8548 6886 301342
5340 9021 561707
11974 169 501445
6804 4917 315733
3233 6947 714483
4871 11927 838259
4740 13188 604319
5545 11769 338116
7466 760 887815
11254 12145 16258
10328 4793 24074
3880 10744 831594
10477 12290 244555
9879 11911 193042
12448 6197 428233
10766 4841 78601
6302 7480 877403
4600 6554 581319
7298 10685 552076
5377 7181 930448
8637 3989 945773
3792 12968 742530
4837 8640 596168
8883 9219 184510
100 1858 822425
5866 11297 90249
4826 6617 769862
6611 9259 553019
1537 9206 798617
3251 2016 39005
11751 6734 252870
12913 10380 419014
6292 2166 726050
5247 3857 850764
9775 3218 967481
13088 11467 876275
10564 8132 62743
4457 8926 992297
4515 5182 510798
2319 2860 380683
2881 9380 938448
4766 4557 220517
6209 11758 343908
13167 7538 292880
12431 11456 960110
9906 2296 529164
4134 13161 105715
6172 3437 60819
5037 5649 720019
5880 4803 177212
13216 6606 274196
11394 12254 79818
7018 4176 965514
903 5551 543550
12200 4960 127306
10140 4462 472784
7238 8341 1300
4135 3668 990854
3092 7248 302314
277 4234 265257
8863 10431 927636
11438 3057 864074
8432 5420 809970
2415 496 823740
7564 7630 550572
9907 1663 849720
1820 6477 264619
11713 5804 833679
10876 12338 983121
13006 12965 734304
152 5860 614310
10378 7743 693483
5986 9796 659518
5561 2704 478974
10126 7761 580018
1446 10826 241552
7887 3238 603699
7166 6548 323640
670 4095 238576
10092 5837 120972
9571 5323 344848
7524 8686 495562
5683 12514 764370
3504 4076 621520
8621 4752 275723
5246 7926 967335
3873 6869 379430
6749 10553 519099
299 940 67832
8831 4847 801466
9710 8701 275671
699 1012 710277
11070 6578 676508
11470 6240 730379
10098 11114 652617
5443 9520 863706
114 8990 603821
6523 24 746495
10100 3094 658380
12389 6385 886288
8962 7511 269809
2930 7449 161377
3009 1522 219906
9683 12764 117320
7103 12666 187665
7524 10551 982758
1197 6496 49449
310 704 391825
12485 13104 267560
1867 7990 831956
6455 1201 488584
12870 11013 90167
5886 7529 662564
11684 10974 477084
6942 3507 465869
5031 4861 843597
10559 82 437019
2618 3588 837124
2245 3848 52544
5268 5980 477740
10220 3659 672124
6074 3000 635061
2518 8926 475237
2409 987 781472
7248 3068 815788
3697 3276 997046
10353 10605 496030
9508 10186 332042
5502 10618 377578
8118 11750 430606
4404 12906 2146
12456 2040 154672
2488 3724 665131
11693 7665 308066
6049 6592 315279
10914 8849 367947
5347 10793 723022
2351 8429 491995
7197 3118 316412
4978 6929 728239
8616 2803 863344
4700 12166 336613
986 4279 394307
2123 9493 730488
8807 396 260884
3246 1079 554198
634 11012 88795
8302 7535 344360
7855 11233 228905
983 3844 497083
12964 5263 608620
2618 3380 83696
12090 7145 388033
8 8664 254529
6513 7161 675658
11454 7300 933086
863 11710 713093
9638 11526 339147
7095 10160 644194
3190 13254 221502
9105 4894 958415
10644 7385 879764
3683 7218 209799
3647 7160 850240
2035 7717 193239
9805 3664 43568
5426 1338 700122
11194 12817 942107
3894 2357 290524
1150 11418 484055
4972 2333 280173
8947 10642 501469
9347 105 15254
993 2261 841165
12394 7884 85997
4210 5117 47645
10142 12671 284191
11979 12212 149671
12468 5662 193675
10570 3060 300611
1122 10554 490752
8559 4559 625803
6749 2183 653787
4407 6327 111389
48 1817 903857
12020 7204 856831
8838 216 621877
105 5469 762954
1371 4897 597676
11664 6431 640702
5918 9404 398542
2096 7100 770667
10061 4167 326187
8135 4701 463802
8577 7340 411649
1816 1252 108155
10973 7038 138844
10006 5251 269227
9815 10546 33208
12131 8978 747130
9017 13288 101061
13107 11935 839270
12996 11590 6341
6946 2955 159293
6542 11117 903888
1891 4437 920373
12651 6556 707817
6613 11221 373856
10644 11555 904001
10183 12863 39462
11839 6057 505160
4275 7802 178768
9276 7756 926964
5338 3663 369085
4780 12116 25465
1678 2058 950589
10453 12289 375171
5226 4184 741543
2441 3907 945221
10956 10830 633585
308 1251 147018
6705 11632 521837
12760 8627 567337
7672 1069 179139
9737 12655 806967
4857 4771 267759
2025 6291 403659
10302 537 275664
2015 921 542773
12154 11191 534654
12164 12425 587041
11157 4436 521425
10245 8634 950248
2557 1708 449023
6928 3385 264258
10991 10856 845629
