76544 41177
68853 30534 921502
28193 39490 556044
53595 28688 725953
72759 40158 934283
74636 359 984756
74516 29598 392154
63446 5493 810487
39197 67510 820244
43516 57399 386979
40723 58147 430171
22530 43995 674586
5175 56912 578148
61059 25452 572444
69923 52919 773428
34725 49316 218545
39809 11346 137676
43723 66146 756244
64802 21947 386909
69627 31453 649995
12482 3285 122445
46816 18045 933819
51813 46192 783179
56765 51095 952982
57877 9700 505003
18481 70881 568640
70068 44716 829733
6979 24917 965344
28011 47244 368977
54109 26934 871367
28007 69329 514891
11223 74075 90281
32599 68049 224989
44490 6902 961748
60101 9197 640604
66364 53230 572556
13223 22566 407326
30222 39938 295269
49409 22806 319235
39861 55772 79112
72932 3914 693374
45619 74206 512477
16160 63611 999422
51469 74151 669456
36984 26975 738660
33384 31340 413219
643 22416 121865
68586 7587 879147
8341 27288 34767
49068 23307 950741
38938 39709 19405
45103 63595 961023
32364 74951 837136
48697 49546 417784
13542 58825 151267
73850 29103 216950
69851 51899 241995
3285 23151 69118
4020 71605 773427
69642 1407 652726
47564 16898 572565
73079 13744 296706
14891 40688 93876
41314 62888 378514
74513 62723 731116
20025 6858 326237
7228 73755 807084
14872 46450 782935
23777 73958 55064
36225 59472 199230
32051 38527 651232
69361 28224 407074
15272 38947 210412
17372 50354 333153
54734 65977 865465
10126 60227 398542
47887 6076 491919
26962 43959 16101
66935 10106 604834
19635 41182 261544
30994 65947 87998
18171 17069 886248
37665 67307 658966
20888 58053 971669
70375 67478 634692
66898 66074 999596
75693 23901 758131
10397 4818 733438
45959 71854 831991
44268 50255 32817
7840 61539 227968
3516 9364 352840
17745 34789 84834
64528 54193 937631
10623 26089 375552
63036 55802 688874
14140 52324 411667
6466 12632 537820
21442 62798 266519
30061 62035 924997
64723 17105 51136
69331 3127 465661
47775 3320 641578
65400 25613 807175
3949 5548 381548
49972 57486 61455
25285 62703 218179
73281 52619 560445
16979 51177 159444
14461 17281 464619
50578 55453 952472
1797 47830 307265
68198 40481 406425
26116 55177 984475
49201 53233 71418
24210 24000 172079
52433 12668 446155
62939 38207 85963
21173 25356 211511
36541 42115 705529
49659 7798 968584
62278 38672 334760
22127 32759 516999
22831 28745 200515
39111 60443 732025
35788 12088 510860
3898 36879 379660
72404 36401 501758
15408 16446 747130
