52225 96080
3347 33145 995119
46474 51066 360070
1159 22159 521324
34191 50358 154007
23994 9292 645290
16269 52067 406566
16880 2592 670206
19866 28889 176236
41092 21293 577453
33766 51774 986821
20310 33573 198533
36771 48808 468406
51529 1432 784019
22393 34811 206326
10847 5907 79013
12758 50688 432325
45461 29668 462672
38521 28500 759535
33401 32076 213686
1390 41036 375198
15215 14708 298059
29502 20210 789894
42735 28593 501590
35672 49973 866439
8923 2442 429671
3587 16562 465030
30786 42467 239739
31368 41165 119463
5222 10136 768585
16327 16945 232496
30777 12988 726988
6683 46520 71424
7558 569 269915
47644 43405 510064
46920 39691 492382
18408 15067 715962
39583 12992 567370
11164 28311 578225
9276 33044 167594
1205 18602 474418
19025 39040 531732
29743 36365 939117
4465 43778 279718
48157 11186 922470
14598 20936 410385
34558 35196 480407
42474 5702 599151
9922 5022 198734
41560 37763 169995
37856 23393 585493
41512 2610 329486
35374 24593 763375
16001 47521 31278
33005 37955 364908
6360 2107 745255
49009 46371 610383
23454 39943 3538
37700 18603 163790
12056 18873 666062
10604 52138 10680
41063 26192 871199
15074 2768 39065
6500 18152 792014
49207 13624 43274
88 12145 591413
30125 51728 104347
20143 26449 183710
23376 51119 608117
36320 31419 703314
13899 645 882912
52036 16718 220100
45104 36406 74220
35337 25537 214310
32417 12473 864635
25318 23624 305755
48991 22711 369196
12322 27367 902196
51237 51739 220471
23793 2904 447417
3690 14554 857018
15348 30481 771186
35266 42227 661363
21683 35327 537167
35124 5909 650369
19655 14567 49346
32596 17609 34622
37043 4744 495981
25013 38567 292907
15493 19793 137415
32705 29097 584200
2797 31433 2451
19525 3895 253989
18986 29133 571627
19853 26475 347197
43845 51141 932851
38284 37980 976391
7578 7521 903763
44745 11237 660925
18117 29479 321277
3303 29964 49974
19823 27696 439987
22465 2938 53947
32179 45886 372552
24930 15602 870352
24837 40090 804927
12654 11142 31845
33524 15408 593567
27027 36972 653076
20408 31441 140040
8035 44810 313174
33356 9729 794249
23015 37289 486564
47218 28414 699175
24810 46723 317856
29426 13032 644104
18374 34932 901792
28974 3337 397286
3557 521 52813
26028 30132 648913
21154 791 648954
5991 44518 748636
49986 33943 968244
36212 30463 284934
27592 32117 649449
