49531 76463
35061 27939 497108
20010 32247 578887
10509 9299 440558
12402 45896 617906
15431 33290 511211
43424 27553 606918
1866 11104 318719
37954 15647 457483
27787 27138 230926
41175 11052 665806
30665 8087 651661
1886 48376 702945
7318 3512 360377
40462 46522 222341
48261 47217 188000
26985 16499 622316
26307 689 957759
20644 36041 277582
39033 35430 20545
7850 45514 169304
3481 5936 271549
24065 4167 11471
213 341 255679
11396 12479 502614
38629 16946 152271
15447 1864 229927
16821 9421 934010
8092 25300 853480
284 40315 498103
7845 8242 497514
37243 20843 729843
25170 2455 128018
35606 32785 146927
48386 19195 887858
19152 46771 465891
25536 38769 235680
35287 28926 470865
4396 13654 56363
3449 45129 54988
38992 20590 123155
46437 45588 238688
26762 23120 258387
8620 21732 145563
25343 20680 52500
3542 5817 714003
12142 22742 459304
15945 8709 689016
5815 20464 217497
25401 9823 609064
38433 32606 860899
19130 29172 759909
9571 10378 360075
32752 47069 426117
44575 34254 890824
13672 47252 471108
6780 34550 765636
27721 30629 769139
7596 13549 350485
16885 41446 305301
30726 19700 105748
14206 36507 185323
41524 28647 299537
35765 6531 333649
22286 34311 607960
13677 4945 962969
44337 9303 817313
9373 28624 438704
35296 5637 685939
4544 16578 492425
4343 33074 449513
9401 44177 850317
48654 8048 615666
375 4094 541323
7062 47021 881139
39825 41022 112796
5939 4055 998978
43128 45317 480076
27223 43079 796095
4045 43199 978364
42313 30371 328049
15221 39130 953566
29867 27781 168223
7941 19915 764228
37390 21820 599514
330 34578 498781
41445 40366 98862
3606 47402 181308
20412 1061 399038
18532 48065 229539
22223 44035 363084
45246 14571 511343
16758 12830 248694
12717 16408 316188
34599 19769 224335
1882 20868 551560
33509 34454 555949
45307 35715 668579
26079 14907 60543
12613 32406 195611
45984 5509 662262
14208 39311 425891
27062 21279 925906
5542 33735 736868
18042 13719 575284
10249 10881 474471
37841 28923 604275
27488 23142 542320
29094 21961 53155
42256 8197 138207
18918 24538 335310
3767 23643 383258
30619 38201 46861
9410 630 766312
35929 8708 748124
26491 20976 101988
17400 2675 587069
22550 17472 382887
39963 33999 373878
1605 39776 673576
16585 19322 619695
41157 17568 499973
19643 40694 94959
23280 29075 238598
24457 40701 510048
20185 35488 881801
24910 10923 906313
47527 11233 538100
11352 38726 531247
47248 4799 656609
37513 1127 562313
39155 27978 587055
9388 26647 132958
6955 4575 237316
46702 15985 203069
7497 19285 550587
48176 41673 350965
8717 34284 964215
12858 33585 402723
39264 15908 697781
46422 49427 626942
33260 47534 898293
42990 43062 549370
6787 18860 291566
22634 8618 505911
15541 46984 729474
20595 5646 326022
11547 24108 350171
13608 41749 602039
30532 46422 382493
38320 43101 470096
49348 21193 557045
28275 23828 372318
27244 3367 52620
20550 19161 275970
19502 17994 588610
1231 23470 850023
26160 20502 70672
4147 45190 938577
31229 25083 581600
6676 39416 582595
37198 38719 901318
13026 15687 291532
2709 9326 216272
42493 40854 609162
2346 29366 235087
12723 21423 607809
12873 43892 437348
19843 16645 214109
23703 14972 779057
36759 15867 540125
21705 4619 597741
22014 6896 595375
25547 47429 875997
40194 43856 107301
14533 32087 991833
4547 35594 411324
38668 91 35614
37055 34819 223826
23382 785 768531
3277 9057 369313
1289 17131 555319
9906 22875 302571
39349 47938 727304
30213 17827 6108
49476 41161 743115
30587 3500 189515
27448 7511 121723
25695 21466 47538
18331 30082 301898
4047 49373 471324
8033 29498 462399
11907 21575 145424
43940 18090 796514
21411 32596 481518
45819 1633 618316
11298 7477 826902
14262 39693 781283
22874 3034 426451
27586 1443 432281
4263 30510 70365
30132 36842 845549
15488 28156 428702
29201 36160 172764
48090 45288 840155
44478 8443 652516
15181 45593 865046
5172 35164 287731
45519 34388 247028
21264 6336 501797
21751 32770 348997
11336 1821 298794
31816 33209 368002
35621 22119 69872
8236 15745 38690
24794 30215 541144
34864 41124 855913
33007 14725 196169
16531 25314 392990
2162 24061 463839
13854 24183 577269
44900 36728 416952
15669 34121 68991
22957 38881 419391
8099 40644 720623
42883 26662 582040
36981 14184 704252
43445 17279 258124
13993 39515 336368
10177 41438 181814
39838 19 415045
27973 9010 956934
8029 8031 998550
4155 20104 326277
44681 310 34214
12684 37389 574532
