35843 74822
14301 35469 364049
14582 257 81453
31386 10558 166555
34317 21614 409969
32426 30040 453047
3171 11267 589190
19373 27540 448016
2734 10620 337064
26025 554 235030
29383 12676 398361
27004 15682 874341
19678 19508 90460
17212 6810 143526
15656 3547 419943
25987 23604 637564
11165 20836 118034
16461 25870 36558
31369 1805 692234
6409 4262 511104
35153 8402 794752
3286 11096 205748
7911 942 510383
10716 7236 304469
28614 8804 324671
24035 3506 469043
3947 18554 261953
16944 34355 770916
19827 34908 351370
20563 19413 309464
1010 15667 930070
32761 9148 294814
1476 12874 116435
32121 29660 511068
13091 4855 920883
774 23267 129408
18282 26265 278899
4977 23016 613816
22528 26630 858766
23338 22184 470777
1091 23863 41939
7857 18542 213464
19372 26431 173739
2254 9149 419076
30351 409 883124
26030 10427 272889
17333 33289 155260
22584 8621 561514
11203 1399 385634
22446 10685 390623
21712 30963 768837
1046 35215 286682
22850 8656 541842
11612 22222 313503
15680 26651 214795
23696 19792 130664
19123 31952 507710
1047 7694 67830
12265 5482 92319
9513 1896 949395
24552 34907 491863
4660 3707 733249
26158 24764 662516
32477 6470 534928
4464 719 5598
22137 35681 532261
34823 8468 613030
21938 30558 965719
7118 8224 488712
18056 12002 799105
4391 33864 781758
18533 2070 270296
1345 32503 952081
24626 2096 628227
14665 13169 546536
20051 33114 98485
20692 22066 769182
1854 4069 772603
15367 18745 468667
7518 2442 928170
30320 19050 222263
18703 7079 776838
23485 18446 492134
17376 32565 164671
17998 9224 407429
23444 2748 84780
9419 4740 613673
30117 14230 525371
25289 4377 3749
26492 14807 993908
4861 19078 225617
2066 21266 429618
23761 5575 269842
5060 27183 447238
28039 21757 978642
19162 13596 531971
22356 35807 865184
21533 14690 216011
25282 27326 199772
12355 7946 438994
3423 3528 211919
35264 26847 759096
21044 10532 642846
29859 32284 713124
31048 19698 341213
10598 7808 37536
25275 16941 512728
6263 4967 604238
18340 12385 248175
34061 18486 406489
33583 34850 632737
7506 30173 113176
14364 20225 498986
22124 1121 247481
26863 30174 667037
33481 28627 777912
35059 34858 608793
17298 8602 940329
1373 33278 833873
18936 10136 428781
19350 20354 978328
2380 17944 929442
18329 10979 137758
29217 30464 62944
19166 35313 921383
15507 16648 791698
32576 30707 17057
3703 10062 142075
8716 3679 111368
21881 20707 129296
3927 20532 608882
4340 33660 395442
33431 13298 247931
24003 12084 576447
19722 12074 413206
15198 34890 247347
2277 26752 372165
35109 32869 65844
29502 12096 926531
25512 21538 664261
12098 22708 671092
3808 12988 57273
17392 28414 46629
28002 5570 164366
27241 8092 516740
30122 25531 264264
3145 10828 64046
20470 28389 138271
4949 34342 409663
21368 35501 592868
13490 12410 605049
4205 27675 65455
4277 14835 194773
4052 26373 718027
2045 18845 39170
11539 20045 990323
33698 29343 155514
13118 23937 624821
22326 34324 889919
18825 10787 263685
10279 15090 815496
9390 3270 239022
9242 11332 601656
13820 927 605524
5939 16606 243051
23301 32249 808647
8297 18890 449932
33612 35351 661159
2126 34188 38313
5039 3041 678730
31216 31014 153143
14440 26028 813845
29438 28141 454475
1138 24778 942936
7320 2356 884585
27777 4986 30231
33563 18895 556305
9684 17945 758956
24184 5823 37182
33306 9141 319981
22228 15599 790052
13506 18015 979631
13626 7723 687770
11974 15412 962282
22553 34097 789132
31974 23384 18168
3528 13802 318240
32581 25342 572954
31383 23835 259698
33878 32327 711420
20580 26062 620076
8717 15707 351042
1436 12146 674893
28747 31014 964628
