76699 88517
189 160 234996
65633 6987 620124
23392 32341 798939
4095 62432 128349
26313 73084 426225
32967 17878 707451
33697 63466 892980
48480 34989 189854
41219 47027 695473
46801 43405 621821
32873 9357 90173
51933 27917 688387
63948 56800 259857
37658 76534 337237
12687 6487 604889
25942 30492 700081
45539 32492 973335
11324 40591 901760
50271 41695 518477
37125 3990 894994
62348 37054 45314
20713 52751 352335
58372 31948 70575
45122 54433 89419
47214 53709 502835
65680 45905 625626
31364 72311 337732
42008 30857 791933
1806 27867 678462
28737 42377 669014
46550 4046 199082
18520 27435 415989
47637 14500 170230
6135 7068 774211
38133 62310 482360
26688 58743 983097
21076 52533 721235
50766 14739 888564
3234 48239 369393
49801 32913 515951
59903 66712 622218
65808 67817 617295
56007 66196 691661
3530 16191 588642
22027 75439 688681
37647 2373 441089
39838 60744 768362
13606 74751 571807
53801 76459 784465
72030 60670 932674
27591 53493 768457
1760 18156 995311
3466 42836 55275
54966 58343 634452
49829 72894 836272
64458 14126 415831
20031 6388 202895
44159 17899 602636
67699 9635 50936
7946 31898 788278
4148 5097 499540
25694 21834 869480
1982 19344 656003
55009 12205 896242
57440 37711 368897
59019 8418 858202
64420 18578 448152
70446 21829 957771
75389 17061 621193
72620 13799 594919
39898 13057 122021
53126 22063 427478
13734 15311 606414
63696 24691 630487
47910 34953 297182
12546 53695 538019
60936 71999 104815
41659 67141 610889
13797 7746 534750
33913 26823 479266
68166 14952 383182
64119 7417 909257
16374 74205 728498
53976 30723 520489
15743 5131 975781
2833 75927 669009
65670 72008 812458
1088 21082 404064
26206 33066 874111
67633 16416 43764
46581 14022 136680
10106 58764 48087
20247 24245 608523
75915 14775 95653
11259 55702 404279
63742 44285 874062
61716 73232 538237
57916 12456 980585
11242 54402 462609
53606 20927 875619
9766 4498 37632
10078 41308 410005
834 34262 980286
70082 62625 761789
13660 19155 181493
65384 40530 622705
63317 33531 65572
54176 1642 133235
9399 4425 440998
5874 49573 498452
52845 9753 259740
20047 2355 28942
11852 71841 963283
16531 38423 508486
5340 65444 174276
63396 64806 525010
613 49926 57752
74520 11873 473414
13036 16339 500390
13618 1484 539008
15244 7189 265650
3124 60772 769905
34864 11208 586785
70244 34566 968454
1018 38025 791791
15 60059 683290
19086 74189 730750
19961 48407 919867
63167 34491 473074
874 71214 68876
7095 31164 157456
8990 40790 407822
73639 54880 754410
30550 57338 563653
74444 4315 775681
3313 40112 234076
15614 32012 898717
9619 22410 437530
61613 49869 505000
70809 28113 455565
73513 68134 512040
61338 45322 817190
12587 14043 484427
46628 69334 850462
75301 72010 996871
42543 35124 802635
7317 14935 641084
67331 66396 314084
57994 35090 525773
50845 34996 91119
43071 74222 890932
47768 26056 725077
19364 2852 451516
7835 48472 103438
4495 8660 840925
35655 50064 350675
31173 74742 636391
54652 46363 872414
47008 43901 466216
27062 20385 828794
67381 68976 633362
24090 28000 916238
10427 48875 805131
75883 20086 646721
63534 12677 352081
19397 6812 843156
31361 18325 287991
64413 2988 144005
28628 28131 505976
17230 32296 273760
3863 20238 405590
41095 49998 693157
20283 30226 211786
74104 33679 630149
29785 45267 190402
3424 61892 237157
62717 1901 970849
54408 20645 953304
32788 29755 95416
28807 4651 298218
67443 12898 750670
28796 47819 645528
35427 40962 512458
6487 15107 462257
75702 75090 146737
17348 12943 97766
18018 72300 173082
13662 12580 272789
22320 67313 889644
32227 56207 427612
7122 53604 506734
60998 17292 772254
21407 67784 457049
65680 39166 472294
2960 9 290289
27603 4561 398546
73911 22759 466660
32575 66888 325054
7279 11243 221039
69123 39269 663424
8837 37747 666401
51351 34658 656863
38116 57416 230731
63797 15910 130882
7005 2309 160645
21411 58811 79150
40466 49221 940639
54311 29340 129894
60688 36018 40434
49065 456 60509
69288 27453 200674
61018 34777 108949
10010 37732 11010
36012 27439 150811
49416 16284 712832
3364 37955 232857
15679 7563 248584
11695 39595 615790
7303 14407 436528
16779 56164 651438
4845 4814 42050
61576 24022 545949
17980 71895 346657
58332 44342 926269
42323 51243 688427
18392 30926 951167
66191 57636 455772
4899 40532 481611
33480 15014 462867
15497 34121 978486
14027 61402 842779
35307 42009 439509
2869 66747 960040
5233 44963 571042
28752 26828 362042
40884 40061 553663
28215 41194 805663
2712 63325 373251
16290 19288 869862
66102 12567 720402
34026 33293 961415
59650 31537 986163
57360 1502 642760
40031 11534 962286
60657 53877 427141
16960 75415 585323
29287 61507 127368
8426 61999 474307
46433 60741 371653
68409 53229 94548
6713 45551 73469
42375 3492 103807
35411 59889 753137
13585 10823 915474
63997 16350 858612
24791 44332 223140
30496 70487 4156
62551 37814 538546
8385 43008 183112
29500 63524 516001
41534 51125 991279
58637 12771 280601
50218 64 993553
71555 65860 379297
49246 21869 792073
51704 26779 162695
32204 35493 210859
14194 64085 691493
892 56061 573818
58945 19206 85816
37073 61188 76897
27949 36581 992480
23864 21163 79176
53130 45843 117847
54688 46349 170823
9851 52582 969579
45082 56489 972786
13230 25077 839473
16970 41593 319187
38477 23124 745603
1858 23214 27371
68405 58837 346725
32716 2624 613943
4386 9130 673367
57572 43984 723197
69645 68719 271925
21376 7646 460002
51496 33435 349198
4849 3 203093
30849 36610 295254
32044 21136 159448
51572 53216 616492
28330 70211 718178
31849 32977 662062
75664 5349 325847
6949 973 357721
63836 34021 593274
63760 43456 802101
25320 7245 990854
48043 930 588761
49649 29270 387819
62498 66961 289311
56947 13125 492954
35724 35161 965196
28176 57247 504445
64752 12515 172089
30651 20919 928381
50996 71050 84819
33061 75823 744923
43882 42386 842983
66934 1863 40523
71518 75417 55485
63150 29338 175132
20295 38001 622541
69712 61717 805638
32915 45660 969165
35954 42201 146286
22335 5705 972606
45855 24246 115669
11110 20199 299246
56780 43532 774693
58457 6788 65229
72594 50479 556112
30075 6160 943317
60658 50218 374207
28033 45673 635051
32424 7682 480188
61704 699 515801
46681 480 199465
76202 13071 190019
39303 9582 128108
61110 21396 620899
32685 44722 603038
57119 66315 889950
30677 65882 938389
76138 71935 751324
63270 2391 195425
33980 56173 551544
44681 99 794664
46755 3668 961107
29177 2169 930938
47910 15997 998000
47619 34741 361693
42606 6864 192535
73699 9928 329041
61231 73423 114746
75964 42675 580881
18309 41039 561530
59211 65919 481162
65277 69168 334782
30478 33866 628314
46266 50562 540712
63102 35113 869550
31712 5815 199508
44529 69375 584167
14813 8398 911164
13148 38471 782987
48579 42216 243906
28737 38117 715390
52545 45929 927933
41801 48527 320356
31773 4408 694587
63958 57468 3844
72626 43945 901986
45098 19188 143420
28864 33194 390674
62799 69613 556873
2353 76464 239065
9080 16513 142262
1174 44161 110098
31352 29878 834749
56875 42087 394929
62973 64586 551845
8608 18715 336259
64374 63684 519166
73232 18458 49875
65840 32517 834619
24973 5557 14589
66527 67553 387346
53898 69134 669787
32160 1574 305717
43956 53796 221497
40615 23558 602594
64826 18465 782625
65700 28704 866426
70800 47438 222461
53646 74810 936928
8209 67880 306647
38784 31227 253692
48008 8624 72668
63103 35540 755521
59681 62439 219990
59525 71936 793620
21421 64259 94470
48883 49235 613237
870 53599 626875
39640 49473 188060
10242 19578 91673
9569 15797 949337
53322 30259 308317
60967 72009 407371
68916 69943 699502
6138 22399 433364
45585 41348 701104
3423 64195 73257
43964 73230 218379
32448 3652 932448
66167 62307 756374
21275 71027 458105
36899 32457 784371
63419 73459 715295
67398 32148 407612
50691 9590 267234
17323 59623 471893
177 48904 973347
35843 35537 938220
7695 9271 137166
2244 3031 364164
60567 53643 793543
51531 56553 928576
46657 6257 912249
15408 37239 520216
27391 52089 704258
48471 53998 752623
70338 5242 663353
18998 36607 640936
76312 64106 945785
15514 4613 925346
48319 48989 731086
23874 3622 45861
75926 13728 823532
68934 25455 731343
14942 4278 373002
8397 35154 72689
24220 36348 64148
2810 64461 201664
69538 35219 402476
74417 26373 118491
21494 3913 805005
30901 27113 982848
3651 26349 71897
25985 62284 333498
61435 63353 652216
60901 1782 219185
39381 24260 59946
65922 23266 395481
59045 39102 623249
67675 5025 40193
41106 9546 252534
68157 7717 194697
48003 58495 212886
47938 73428 778124
25280 67869 756391
70857 6648 672313
68218 55411 393394
52157 32226 741629
54300 51671 439713
2474 65771 977843
22671 198 17721
59966 48697 34224
59369 18348 193449
33955 6282 704055
3743 38321 534920
50589 66975 325228
16405 76356 713762
49420 53853 220917
35617 39524 132405
56986 50989 248869
23158 43483 794985
68537 65462 205897
74661 4899 593343
8245 17572 191560
29499 48683 723538
38168 49232 789856
68254 31367 430305
13182 47151 595366
68326 67840 401524
16877 46661 488494
23617 16787 966625
63889 2289 575831
26698 36247 78698
42842 14073 953739
13334 34853 822977
21598 29160 285875
62770 74669 824873
55978 61001 163489
33908 30321 154232
64286 49494 403904
57834 64308 568522
12876 3401 464145
698 28224 340700
70862 3402 70945
37694 63661 242443
13722 25246 375468
32132 29423 727486
16892 17626 115366
18089 49455 606376
13077 26148 338165
34784 71731 426548
64501 63163 21278
44013 20467 839127
45697 30522 652353
20079 8443 4676
65914 22782 730086
44253 19031 890223
43666 23195 369336
63852 31904 978881
31556 56045 723068
4021 45486 728084
7908 28224 365558
76092 34515 691357
61964 5040 611358
58348 62757 976382
5002 73751 960840
31572 45842 862843
67422 55015 392226
46106 7637 446739
17587 35953 947465
58629 46849 738825
58869 75194 317048
27169 51518 239564
30506 34378 290963
75303 51015 235362
68018 17899 278360
75141 64165 757982
35580 33395 338294
54656 10691 255071
49203 1995 577985
32167 32578 716470
5751 19586 736176
14243 3279 486031
71799 26731 246773
10687 52272 261225
23745 71542 679794
38274 32071 732178
75931 56571 750994
895 14318 376140
809 8364 609165
14861 11011 826131
51925 12338 601427
36363 61088 461860
6940 64535 407689
72293 20064 588968
57338 26040 268709
16783 3644 76280
51886 27039 246590
17844 4029 404883
6742 66494 181118
62311 63017 129430
42481 59321 30679
61961 53733 920811
4031 40865 350611
3655 43622 538541
57243 337 960387
14668 16954 162243
1246 22420 43550
1592 61513 180192
57987 42830 164909
9779 53223 937255
52249 11155 620006
39716 19693 872866
1683 27064 849956
7636 29972 565821
17000 68914 900562
55785 46569 317812
18956 59496 185572
34979 57983 389725
38908 29868 635983
418 18179 361973
14685 68559 436423
21169 76373 723207
33082 53734 577680
68119 68681 524871
75224 13605 841712
71947 67202 757394
68162 10874 959913
49293 18170 513682
70644 16319 698414
12257 66382 56690
31349 76435 909022
30688 247 594694
44575 34205 445742
49601 47609 454994
26298 32623 937292
15674 63898 621606
17616 10769 85060
60934 48610 285312
53125 39288 208831
52986 42460 788604
44966 2289 656319
30609 66390 373460
48323 59873 533829
45118 18895 828195
74285 39442 242722
28952 73043 252276
56396 72287 161453
70626 19643 548646
19854 46984 573443
37121 22616 946338
35621 36742 263512
43249 41369 252014
48183 53156 348523
39940 708 200927
17515 68685 807470
24912 45232 506362
42857 549 224703
15517 6674 954995
74452 20855 197577
66644 42821 584944
67910 28941 226386
67127 11827 625262
17931 71941 219270
39885 11320 415191
13913 65686 936533
14367 29683 967451
21435 4480 67824
12211 62440 978993
50430 33272 486583
40324 17138 721681
69269 27496 933564
52521 53334 90002
70080 42090 826378
51189 71563 822000
54416 29349 57614
24413 33519 657596
39727 65585 965084
73635 19591 670149
37680 20181 754032
30421 71646 335729
70782 41289 61375
74726 1034 205563
46379 43181 43763
100 55895 363791
74951 7768 265273
49345 60036 518864
18425 13883 180522
30186 25479 652012
35932 40297 325292
64832 23234 507221
41617 70066 824306
39871 22788 967770
74304 67885 729523
724 69464 161648
72159 24983 759627
58030 40234 450171
8982 9114 920346
32544 1252 402601
30374 1842 554302
73690 6587 182992
15362 32150 68689
59499 16445 297613
65203 59079 166317
2722 63555 47053
65246 42108 789754
41768 59412 244068
22772 33142 288148
32306 60786 740780
41195 3958 106844
1841 21276 577398
11257 11448 53068
18956 57602 882022
36044 52878 992479
67104 56359 462362
66776 35375 930586
53892 5024 636628
75079 75158 133148
57478 72140 609735
4154 5807 463058
48980 8549 780999
36281 34912 135625
4030 1231 562031
42816 60438 356703
22912 13797 526578
11813 43608 215287
28663 25603 687013
6771 66443 79925
56663 2758 320844
25755 24970 861380
9795 11100 893362
27715 44301 215011
66846 28408 567910
73684 30684 884410
58020 13584 494018
72258 63932 83761
27565 45532 61167
14728 25273 934972
42485 1781 511740
25060 29467 555003
39113 9096 292620
49239 65793 520210
29219 47283 376275
63409 36770 491279
46435 51662 683508
4482 46265 645107
20635 44579 858005
32925 72427 271519
7008 37708 843661
35666 11847 247442
47074 13519 491847
35691 60063 862090
1818 53910 22965
33815 56260 10704
25223 43925 735394
50709 60214 50318
1116 9428 673858
29699 39332 821106
75825 55085 143498
46720 40633 507033
12862 75953 466833
35899 23871 337688
66678 60786 42533
70942 34312 299141
7153 76299 13859
21835 55642 267796
40123 36858 375239
40697 60608 853144
48143 68042 196242
33133 27959 386601
51530 3962 922548
24900 32203 732380
46420 23355 191944
25374 27357 679594
24894 51531 806263
3164 57759 493232
36092 46360 949754
59216 61638 987349
17994 35049 823246
10277 59257 360712
38851 74791 798021
52998 36385 898999
38141 48241 887051
43781 70635 79434
41835 5251 154562
49529 55877 991622
59924 67932 653800
29082 22746 885681
70581 5458 781275
44614 57677 201337
20108 25190 801208
14914 40802 745808
1589 7579 793065
63861 15159 16215
26208 35358 477793
25535 26098 368196
23401 19832 613983
3829 28856 212560
2138 10191 269179
30496 68710 624549
3345 63724 110782
29204 68428 981974
23593 64516 239561
20546 6290 626328
6094 61786 508328
73746 10754 50844
6854 11920 870836
62544 27242 748916
51639 16537 250659
36094 66580 92160
48143 18573 971435
49477 16225 340069
45277 15477 26992
12547 54489 287222
25818 2200 93161
1700 5345 720794
3745 4024 936302
42307 46973 935074
72621 29302 839405
46118 25262 383267
38726 57771 72279
56917 69773 739495
38270 9941 740072
21156 16645 375781
45601 57070 237219
64437 60318 300980
33483 29294 215310
17017 60226 962035
29757 49631 694293
19624 13321 15410
66596 41120 864578
33398 41189 12131
49167 57817 159149
63424 40065 814801
46458 40659 382547
67699 40429 11286
31460 62344 705170
74081 36874 477966
17511 10599 853569
66823 58560 829894
68367 59264 636456
74851 54824 914287
60240 22206 437283
43733 59530 111722
55997 30068 561326
3699 60255 374046
35006 26112 251470
28015 64407 988340
23868 47562 677301
59037 36882 842129
15580 68995 894088
51493 55955 420129
42161 36342 909462
29640 24420 670301
62013 53292 978000
9208 76391 238756
23042 40853 505958
75465 42113 956733
35322 29955 598620
63469 12434 294431
48326 497 682711
12320 958 375875
7778 2091 256935
30361 60614 715457
61037 76660 133245
43955 37855 760797
72818 30274 550842
52953 40801 761809
4343 72129 604294
5620 37254 39388
73648 74823 434981
61883 48568 62861
32649 58139 68699
36060 43468 900402
7203 31889 655151
70198 62482 825381
18770 76031 592780
68525 33073 921574
30510 648 860854
61184 56791 358066
60709 66543 484678
44927 53777 586516
65249 53907 726160
75735 6422 484943
56771 8534 446591
55173 41411 571782
3704 60452 881862
38360 2563 527325
13581 37803 688815
70352 48681 898716
7016 29607 819263
12589 46419 379216
55411 70578 228670
11261 59203 696562
73323 48124 446582
15644 33002 520289
46816 1580 936430
36901 18189 764799
40603 31718 317334
41718 33629 124340
53009 76658 860284
37658 47674 941381
38682 11757 448863
9093 15844 192846
26174 43492 973474
54525 70731 270928
47851 23448 819633
57619 25453 416524
36462 51677 349179
35362 19850 67234
60662 26164 56307
43771 67637 868912
926 55807 158314
29431 48863 573780
69087 35066 804712
9274 14815 220845
72589 19974 682188
42625 10403 488111
42815 3396 668505
61518 71481 773259
29388 8888 837629
62115 17982 806022
61655 20004 471539
68566 35223 112870
59310 26720 602676
42531 44675 47632
61868 36524 747778
31345 10575 415367
18161 53693 519383
4772 9407 749471
42247 62794 92050
55499 45084 378193
17804 44888 692484
16083 2190 867186
52264 49772 916009
62807 27018 41439
22620 37652 984964
39523 65416 49379
72129 35878 502168
49085 37506 109360
41971 50254 449611
6723 24239 805705
18622 35111 860256
12851 2440 39900
60189 9725 326128
67548 13641 482698
8559 11118 47511
53047 22496 594321
21580 37205 642168
61841 38178 659566
15366 58388 185985
50512 48034 473100
17599 3470 966537
58824 39951 293783
18804 56907 302795
669 53177 577824
31167 49010 940157
23775 53719 811524
49247 4391 388553
54450 36853 651347
72678 49907 592021
34690 5165 925106
74825 42749 91773
37596 61458 155249
15783 10294 285714
56223 69929 140357
64247 26991 366394
58322 66176 466798
11870 56812 364157
38380 45989 119915
76027 43503 344960
68125 15248 511346
30387 40389 981683
34715 45371 329992
20865 57901 546549
28905 55158 458309
13636 20095 638023
4276 26728 230161
39031 29688 69785
55955 28662 367749
55263 62247 476185
57449 29905 678307
26818 65255 208972
55986 11381 907628
42073 65044 332809
69166 43288 635173
8167 60648 232763
37482 54476 297744
47137 36822 495364
3481 27568 137794
38289 13624 887987
64616 51063 480896
30760 35412 434082
26460 31673 662933
19316 53372 647884
65602 8261 714032
69755 31856 292440
59018 11801 50174
55789 31863 389702
6239 48442 88165
48098 4151 455012
5688 18588 892105
33857 46302 350620
67817 21638 972354
70584 49897 370045
15764 5575 516340
63200 24039 523466
30273 5211 630043
68726 42823 556515
3440 75806 562936
26156 21366 387030
56961 1720 920604
23331 32999 560844
75160 12105 531367
8104 19920 475321
8943 75001 263921
75570 22332 433004
72722 14302 68343
25461 29756 651907
3604 2303 180794
61211 67184 508096
24194 15046 479830
45152 20705 646602
61838 74168 911824
66314 24134 701674
31339 8122 773683
32631 57001 429483
200 41838 380447
2550 53017 206932
66988 19803 439424
7777 29424 375165
75225 15475 569050
40063 53229 196232
24911 71957 681599
4620 47994 77580
5915 74160 14116
34278 1619 318221
35214 46434 135011
6793 19577 199864
20775 1233 287566
58480 51230 779226
26190 55053 933138
2366 14304 634966
70876 72751 743036
35001 63195 92841
5268 32268 63832
11388 11061 967148
18248 53453 933800
43077 52559 102132
2956 31068 971226
18387 71896 494187
33119 15497 952428
47612 63477 693990
59359 11634 263468
34356 53023 307167
47178 64928 869187
32435 66069 359738
75127 27828 735658
49977 54931 514724
30353 56582 288797
46623 23520 936240
22318 47576 346751
48081 15706 704826
17331 61482 149912
44788 74643 273972
27196 8671 262326
38175 60749 469653
71513 35776 583683
30991 33560 747232
15455 23380 243041
76403 20930 968829
41908 20336 979741
3400 11661 559389
37591 27443 881631
9282 2031 647177
9323 23562 455012
19877 2168 753662
37163 66029 916094
50110 67221 134064
6857 49551 820567
73469 70066 44522
36072 18642 457218
49579 55801 533924
38336 55034 456061
3168 56442 79934
13267 62145 447063
53952 22559 783400
46069 38203 584719
73757 23609 639541
52707 30191 315626
10492 71224 83072
48884 23031 106954
73407 25019 997662
53927 38805 740594
5102 55914 319295
35373 17669 377768
13372 51904 361013
16244 49090 908613
65609 33212 882188
48989 35616 963257
36226 63451 156417
51623 60263 825963
54995 4392 909827
36414 18807 859561
55808 45446 989067
19084 17692 749778
71949 38820 878829
58281 63842 469466
34935 53540 576698
21046 18963 749671
65111 73049 991939
59096 68153 67664
1561 23105 83779
75414 3567 618472
17255 33375 364184
15234 37465 480324
16913 46995 28435
50670 10610 250848
56077 11091 739737
17625 16292 660575
910 41799 51205
67306 73661 372308
55906 9469 274958
19440 38286 477593
65337 42707 568053
10024 42577 103505
71325 13319 662990
49479 38350 226785
16819 14909 929103
56995 38697 260345
69259 73321 717139
10364 56066 468126
7405 50764 723366
31626 7483 589161
41316 59626 304791
10869 42429 412677
31443 65015 557637
1275 49922 22386
49065 22646 368282
71708 46845 913559
48756 46411 608607
56041 1330 740179
4935 24725 275238
55060 25873 551484
2301 75706 872184
7764 39340 160742
25668 71193 644843
70523 16108 4886
5100 35296 197564
42626 43527 656557
44013 68802 427262
44447 36325 505047
10885 16609 465420
58133 34275 757866
13775 66666 879061
49901 47101 208683
55148 35173 269945
42009 58701 594025
22155 55578 264562
18292 16331 136423
19489 13024 568262
63723 9635 941779
5406 3297 107863
45319 61416 769719
66477 57164 591551
5858 67476 570563
76422 15016 395674
43646 32989 738898
55417 68098 103094
12640 8019 794
2807 72319 123909
39388 52873 50806
25571 27329 30617
39731 67801 783184
16647 55366 823515
71291 40838 109472
10718 24298 412463
2070 50949 435954
71578 53994 703407
25612 1979 841500
23187 47214 823622
8055 15519 366237
43514 5706 718487
28995 33686 547694
130 64004 499911
17237 54158 39212
22307 19074 930479
36535 50590 391203
86 17099 245590
18699 69941 877286
68276 16938 619286
42257 7342 40803
56752 45103 195266
73961 54853 223229
6525 7339 17468
7381 31002 788464
43017 20303 312252
69215 22434 218941
51841 62655 766721
73009 52432 458897
1389 14479 75862
22779 64530 280245
52595 22942 884757
54185 41219 865618
145 14703 496299
29087 7373 439860
26585 24627 362785
19388 43665 698770
43449 13735 372458
51364 23779 61481
49973 1736 744730
2444 35103 667192
58547 31670 825885
23941 73171 730807
58988 4352 424522
24554 72902 626392
70379 37639 415814
34374 27867 944932
38984 69084 3947
60222 17634 92038
18725 46909 251191
45680 56933 739863
63285 43980 865051
38108 76561 691910
21369 40745 695571
63184 10032 531890
39848 36033 367170
51733 64398 896845
50310 57369 42355
48401 64348 82454
64412 47439 270705
22639 70539 756250
24986 40543 363331
26933 3816 756316
44416 60666 752616
35625 48740 288192
54408 21831 153900
16823 44683 16735
63107 32623 180527
34113 15772 799791
2559 17005 333780
9970 66215 839395
29275 72463 240054
58080 1481 56219
49655 11569 246219
57593 35028 985031
35241 73695 458330
6972 5258 280048
21826 12750 80849
63912 16748 320076
3710 54287 309877
54610 30198 430050
76534 56660 772737
45389 49905 22083
61364 50763 751565
6898 7128 795533
45212 44031 69553
23621 13138 936302
13153 53603 908135
73505 30467 88075
66372 19876 634674
8236 15040 162992
